Data_type,Size,Features,Task,Model,Hyperparameters,Accuracy,Carbon_Emissions_kg
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 128, 'dense_units': 64, 'dropout_rate': 0.5, 'learning_rate': 0.0001, 'epochs': 10}",85.80999969999999,5.311912423e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 64, 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'epochs': 10}",93.6999977,3.23889896e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 32, 'dense_units': 128, 'dropout_rate': 0.3, 'learning_rate': 0.0005, 'epochs': 10}",92.7699983,4.18040615e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 128, 'dense_units': 256, 'dropout_rate': 0.5, 'learning_rate': 0.0005, 'epochs': 10}",93.9499974,4.361639602e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 32, 'dense_units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'epochs': 5}",53.3100009,0.0005617454254569
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 128, 'dense_units': 256, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'epochs': 5}",92.7699983,0.0008840813677229
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 64, 'dense_units': 256, 'dropout_rate': 0.5, 'learning_rate': 0.0001, 'epochs': 10}",89.1600013,0.001447854993364
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 64, 'dense_units': 128, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'epochs': 5}",81.7700028,2.475923459e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 32, 'dense_units': 128, 'dropout_rate': 0.2, 'learning_rate': 0.001, 'epochs': 10}",93.3600008,0.000868506214662
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 128, 'dense_units': 128, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'epochs': 10}",89.6200001,5.234897917e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 32, 'dense_units': 64, 'dropout_rate': 0.5, 'learning_rate': 0.0005, 'epochs': 10}",90.140003,0.000917385188376
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 64, 'dense_units': 128, 'dropout_rate': 0.5, 'learning_rate': 0.0005, 'epochs': 5}",88.8300002,0.000602588737987
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 128, 'dense_units': 64, 'dropout_rate': 0.5, 'learning_rate': 0.0005, 'epochs': 10}",93.4300005,0.001214059260743
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 128, 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.0005, 'epochs': 5}",89.2199993,0.0006673683088099
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 64, 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'epochs': 5}",92.0400023,2.165181264e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 128, 'dense_units': 128, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'epochs': 5}",81.4199984,0.000749512741853
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 32, 'dense_units': 256, 'dropout_rate': 0.3, 'learning_rate': 0.0001, 'epochs': 5}",74.69000220000001,0.000567431590258
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 32, 'dense_units': 128, 'dropout_rate': 0.3, 'learning_rate': 0.0001, 'epochs': 5}",65.7599986,0.000486954754201
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 32, 'dense_units': 128, 'dropout_rate': 0.5, 'learning_rate': 0.0001, 'epochs': 10}",86.39000060000001,4.063803728e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 64, 'dense_units': 256, 'dropout_rate': 0.5, 'learning_rate': 0.0001, 'epochs': 10}",87.4100029,0.001199840831872
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 64, 'dense_units': 128, 'dropout_rate': 0.3, 'learning_rate': 0.0005, 'epochs': 5}",91.5700018,0.00090040082168
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 32, 'dense_units': 64, 'dropout_rate': 0.5, 'learning_rate': 0.0005, 'epochs': 5}",87.51999740000001,2.304199165e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 128, 'dense_units': 256, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'epochs': 10}",95.0600028,0.001756432614379
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 128, 'dense_units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'epochs': 5}",78.2000005,0.000800974497223
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 64, 'dense_units': 256, 'dropout_rate': 0.2, 'learning_rate': 0.0005, 'epochs': 10}",93.0999994,0.001213150675788
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 64, 'dense_units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.001, 'epochs': 5}",91.7400002,0.000756145307135
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 64, 'dense_units': 128, 'dropout_rate': 0.3, 'learning_rate': 0.0001, 'epochs': 5}",79.8500001,0.000588840047801
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 128, 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.0005, 'epochs': 10}",94.0900028,0.001534519288386
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 32, 'dense_units': 128, 'dropout_rate': 0.5, 'learning_rate': 0.0001, 'epochs': 10}",79.460001,0.000902526923422
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 32, 'dense_units': 128, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'epochs': 5}",76.7400026,0.000801470250734
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 32, 'dense_units': 256, 'dropout_rate': 0.2, 'learning_rate': 0.001, 'epochs': 5}",93.4800029,0.000706987638798
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 128, 'dense_units': 128, 'dropout_rate': 0.5, 'learning_rate': 0.0005, 'epochs': 10}",93.2200015,0.001244946872346
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 64, 'dense_units': 128, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'epochs': 10}",94.1999972,0.001118979175664
